"document.getElementById()"," <p>JavaScript and its many frameworks such as <a href='https://bytescout.com/blog/jquery-shortcuts-a-few-of-the-best.html' target='_blank' rel='noopener'>JQuery</a> let you process code based on a particular HTML name or class. While this works.. it can slow your script as it must go through the entire script to find the right tag. You can speed up this search through your application’s document object model (DOM) by using element ID.<br><a name='2'></a></p>"
" Basic Input / Output"," <p>Except for the most basic scripts.. all applications require some user interaction. With JavaScript.. this function comes in the form of the alert() and prompt() commands. Alert sends info to the user through a dialogue box.. while the prompt asks for a response.</p><h3>Syntax</h3> <p><code><strong>alert('message');</strong></code></p> <p><code><strong>stringVar = prompt('message')</strong></code><br> <a name='3'></a></p>"
" SetTimeout()"," <p>SetTimeout lets you automatically run commands at a specific time without user input. This simple JS command just requires the command you want to run and when you want to run it.</p><h3>Syntax</h3> <p><code><strong>setTimeout(command.. time);</strong></code></p> <p>You must express the time in milliseconds.. but you can use any JavaScript statement as the command. For example.. the following code runs the myfunction command after 5 seconds.</p> <h3>Example</h3> <p><code><strong>setTimeout(myfunction.. 5000);</strong></code><br> <a name='4'></a></p>"
" Setinterval()"," <p>You can also repeatedly run JavaScript commands using the setinterval command. Setinterval is great when you need your application to refresh its data from the database.</p><h3>Syntax</h3> <p><code><strong>setInterval(command.. time);</strong></code><br> <a name='5'></a></p>"
" ClearTimeout() and ClearInterval()"," <p><strong>If you will use either settimeout or setinterval.. you will want to use their associated clear command as well.</strong> ClearTimeout and ClearInterval take the variable name for a set command and then delete it from memory.</p><h3>Example</h3> <p><code><strong>$timer = setInterval(command.. 5000);</strong></code><br> <code><strong>clearInterval($timer);</strong></code><br> <a name='6'></a></p>"
" Var"," <p><strong>It’s a simple command.. but most JavaScript developers forget to use it. Var formally creates your variables.</strong> While you can create and use JavaScript variables without it.. the language treats these variables as a global variable. This is fine if that is your intention.. but risks overriding something if you are not careful. It also uses more resources. You can improve the performance of your app just by formally declaring your variables.<br><a name='7'></a></p>"
" Self-calling Function"," <p>A self-calling function is a JavaScript command that runs as soon as you create it. These commands are also called Self-Invoked Anonymous Functions or Immediately Invoked Function Expressions (IIFE).</p><h3>Example</h3> <p><code><strong>(function(){&nbsp;&nbsp;&nbsp; // some private code that will be executed automatically})</strong></code><br> <a name='8'></a></p>"
" Math.random()"," <p>The <strong><code>Math.random</code></strong> command generates random numbers.<br><a name='9'></a></p>"
" Map()"," <p>The <strong><code>map() command</code></strong> lets you loop through an array or collection. This is perfect for running the same command over a large array.<br><a name='10'></a></p>"
" Debounce()"," <p>Debounce limits how often a JS command will run. Functionally.. it is the opposite of timeout. It is especially good if some repeated user interaction would slow down performance or cause other problems.<br><a name='11'></a></p>"
" Poll()"," <p>Many JavaScript commands do not warn the system when they finish running. Sometimes.. you must manually poll to see if something stops or if there is an exception. It is a complex command to use though.. but it is worth the effort.<br><a name='12'></a></p>"
" Once()"," <p>Once lets you run a command once and only once during the execution of an application. You mostly find these commands in event listeners.<br><a name='13'></a></p>"
" GetAbsoluteUrl()"," <p>This JavaScript command gets you the actual URL of a web address.. especially if it is contained in a string. It just takes the URL string and it gives back the address with all the queries and other elements removed.</p><h3>Example</h3> <p><code><strong>var getAbsoluteUrl = (function() {var a;return function(url) {if(!a) a = document.createElement('a');a.href = url;return a.href;};})();// UsagegetAbsoluteUrl('/something'); //</strong></code><br> <a name='14'></a></p>"
